model,category,count,f1_result,f1_provenance,f1_both
base/sql,1_easy_no_join,13,0.9444444444444444,0.6756756756756757,0.6756756756756757
base/sql,2_medium_join,6,0.6666666666666666,0.5142857142857143,0.5142857142857143
base/sql,3_has_aggr,23,0.0,0.2795698924731182,0.0
base/sql,4_has_union,125,0.7810320781032077,0.5809128630705394,0.5006877579092159
base/sql,5_has_all,74,0.708171206225681,0.5419847328244274,0.48484848484848486
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,1_easy_no_join,13,0.704225352112676,0.9166666666666666,0.6944444444444444
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,2_medium_join,6,0.7692307692307693,0.4137931034482759,0.20689655172413796
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,3_has_aggr,23,0.0,0.8316831683168316,0.0
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,4_has_union,125,0.7736093143596379,0.7783505154639175,0.6590038314176245
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,5_has_all,74,0.7075812274368231,0.8530465949820788,0.6476868327402135
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,1_easy_no_join,13,0.88,0.9736842105263158,0.868421052631579
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,2_medium_join,6,0.7692307692307693,0.5454545454545454,0.3636363636363636
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,3_has_aggr,23,0.0,0.7291666666666669,0.0
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,4_has_union,125,0.7442489851150204,0.803234501347709,0.6791946308724832
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,5_has_all,74,0.6086956521739131,0.8260869565217391,0.5920577617328521
ft/def/new_negatives/llama3_8b_sft_lora_chat_template_sql_ep1,1_easy_no_join,13,0.8333333333333333,0.9315068493150686,0.8219178082191781
ft/def/new_negatives/llama3_8b_sft_lora_chat_template_sql_ep1,2_medium_join,6,0.5517241379310344,0.43750000000000006,0.375
ft/def/new_negatives/llama3_8b_sft_lora_chat_template_sql_ep1,3_has_aggr,23,0.0,0.3300970873786408,0.0
ft/def/new_negatives/llama3_8b_sft_lora_chat_template_sql_ep1,4_has_union,125,0.718274111675127,0.6904458598726115,0.5952080706179067
ft/def/new_negatives/llama3_8b_sft_lora_chat_template_sql_ep1,5_has_all,74,0.6937269372693727,0.6520146520146519,0.5547445255474454
ft/def/new_negatives/llama3_8b_sft_lora_chat_template_sql_ep2,1_easy_no_join,13,1.0,0.9610389610389611,0.9610389610389611
ft/def/new_negatives/llama3_8b_sft_lora_chat_template_sql_ep2,2_medium_join,6,0.303030303030303,0.34285714285714286,0.16666666666666666
ft/def/new_negatives/llama3_8b_sft_lora_chat_template_sql_ep2,3_has_aggr,23,0.0,0.4175824175824176,0.0
ft/def/new_negatives/llama3_8b_sft_lora_chat_template_sql_ep2,4_has_union,125,0.6727748691099477,0.7188703465982027,0.5717948717948719
ft/def/new_negatives/llama3_8b_sft_lora_chat_template_sql_ep2,5_has_all,74,0.7797833935018051,0.7163120567375887,0.6382978723404255
